iter	Accuracy	Logloss
426	0.9764309764	0.1089524198
427	0.9764309764	0.1088049696
428	0.9764309764	0.108523049
429	0.9764309764	0.1083833389
430	0.9764309764	0.1083492401
431	0.9764309764	0.108304392
432	0.9775533109	0.1080711197
433	0.9775533109	0.1079614067
434	0.9775533109	0.1077165862
435	0.9775533109	0.1075076324
436	0.9775533109	0.1074859411
437	0.9775533109	0.1074548002
438	0.9775533109	0.1073536332
439	0.9775533109	0.1073330564
440	0.9775533109	0.1072345546
441	0.9775533109	0.1070608921
442	0.9786756453	0.1065703269
443	0.9786756453	0.1065000597
444	0.9786756453	0.1063804527
445	0.9786756453	0.106362375
446	0.9786756453	0.1062034103
447	0.9786756453	0.1059012812
448	0.9786756453	0.1056248975
449	0.9786756453	0.1052268894
450	0.9786756453	0.1052079026
451	0.9786756453	0.1050166095
452	0.9786756453	0.1048666451
453	0.9797979798	0.1045979165
454	0.9797979798	0.104326468
455	0.9797979798	0.1041923981
456	0.9797979798	0.1038094814
457	0.9797979798	0.1035793098
458	0.9797979798	0.103378696
459	0.9797979798	0.1031956045
460	0.9797979798	0.1030999299
461	0.9797979798	0.1030913917
462	0.9797979798	0.1027571939
463	0.9797979798	0.1024183408
464	0.9797979798	0.102231189
465	0.9786756453	0.1020423725
466	0.9786756453	0.1017809639
467	0.9786756453	0.1013749524
468	0.9786756453	0.1011246406
469	0.9797979798	0.1006099095
470	0.9797979798	0.1005050253
471	0.9797979798	0.1001964827
472	0.9797979798	0.09956773136
473	0.9797979798	0.09923321253
474	0.9797979798	0.0990872241
475	0.9797979798	0.09895974297
476	0.9797979798	0.09879185722
477	0.9797979798	0.0984863691
478	0.9797979798	0.098362445
479	0.9797979798	0.09822734829
480	0.9797979798	0.09803880249
481	0.9797979798	0.0979171266
482	0.9797979798	0.09770545738
483	0.9797979798	0.09742349314
484	0.9797979798	0.09711761753
485	0.9797979798	0.09710652373
486	0.9797979798	0.09682206526
487	0.9809203143	0.09677714346
488	0.9809203143	0.09674431491
489	0.9809203143	0.09642136497
490	0.9809203143	0.09614254234
491	0.9809203143	0.09612458819
492	0.9820426487	0.09584690939
493	0.9820426487	0.09570874808
494	0.9820426487	0.09543044169
495	0.9820426487	0.09517636616
496	0.9820426487	0.0949735679
497	0.9820426487	0.09487171723
498	0.9820426487	0.09484217871
499	0.9820426487	0.09481904601
500	0.9820426487	0.09476979302
501	0.9820426487	0.09470927568
502	0.9820426487	0.09452341302
503	0.9820426487	0.0943484794
504	0.9820426487	0.09426602228
505	0.9820426487	0.09378273913
506	0.9820426487	0.09358685311
507	0.9820426487	0.09327841734
508	0.9820426487	0.09285808602
509	0.9820426487	0.09269459678
510	0.9831649832	0.09246506687
511	0.9831649832	0.09196131523
512	0.9831649832	0.0917703728
513	0.9831649832	0.09161152121
514	0.9831649832	0.09132271976
515	0.9831649832	0.09129429234
516	0.9831649832	0.09111501707
517	0.9831649832	0.0908898499
518	0.9831649832	0.09067245631
519	0.9831649832	0.09058332549
520	0.9831649832	0.08995315313
521	0.9831649832	0.0896569642
522	0.9831649832	0.08926407716
523	0.9831649832	0.089005562
524	0.9831649832	0.08875371193
525	0.9842873176	0.0884887526
526	0.9842873176	0.08835652746
527	0.9842873176	0.08822579563
528	0.9842873176	0.08799845575
529	0.9842873176	0.08744075103
530	0.9842873176	0.08702372675
531	0.9842873176	0.08693293129
532	0.9842873176	0.0868811976
533	0.9842873176	0.08684526457
534	0.9842873176	0.08662576725
535	0.9842873176	0.08643808706
536	0.9842873176	0.08635259753
537	0.9854096521	0.08608103625
538	0.9854096521	0.08600198236
539	0.9854096521	0.08559939971
540	0.9854096521	0.08555255898
541	0.9854096521	0.08536597297
542	0.9854096521	0.08507132823
543	0.9854096521	0.08505185048
544	0.9854096521	0.08484133569
545	0.9854096521	0.0846888848
546	0.9854096521	0.08461942072
547	0.9854096521	0.08457381317
548	0.9854096521	0.08454306586
549	0.9854096521	0.08445015616
550	0.9854096521	0.0844253156
551	0.9854096521	0.08434357306
552	0.9854096521	0.08420205278
553	0.9854096521	0.08416325341
554	0.9854096521	0.0840784496
555	0.9854096521	0.08383539515
556	0.9854096521	0.08362293578
557	0.9854096521	0.08348489984
558	0.9854096521	0.08313123053
559	0.9865319865	0.08284769021
560	0.9865319865	0.08271850481
561	0.9865319865	0.08268145563
562	0.9865319865	0.08266505632
563	0.9865319865	0.08257905984
564	0.9865319865	0.08240852532
565	0.9865319865	0.08218503799
566	0.9865319865	0.08183531806
567	0.9865319865	0.08173279347
568	0.9865319865	0.08166330099
569	0.9865319865	0.08163290829
570	0.9865319865	0.0813216185
571	0.9854096521	0.08120022331
572	0.9854096521	0.0811814662
573	0.9865319865	0.0811122676
574	0.9865319865	0.08058104043
575	0.9865319865	0.08049968669
576	0.9865319865	0.08036183459
577	0.9865319865	0.08018074505
578	0.9865319865	0.08006834154
579	0.9865319865	0.079760163
580	0.9865319865	0.0797127904
581	0.9865319865	0.07945584886
582	0.9865319865	0.07914787431
583	0.9865319865	0.07910809282
584	0.9865319865	0.07906605586
585	0.9865319865	0.07880443714
586	0.9865319865	0.0786918378
587	0.9865319865	0.07852713086
588	0.9865319865	0.07841419273
589	0.9865319865	0.07838749456
590	0.9865319865	0.07824533799
591	0.9865319865	0.07822735707
592	0.9865319865	0.07808842998
593	0.9865319865	0.07790343119
594	0.9865319865	0.07778074421
595	0.9865319865	0.07765378469
596	0.9865319865	0.07756545892
597	0.9865319865	0.07748774936
598	0.9865319865	0.07746302296
599	0.9865319865	0.0773002352
600	0.9865319865	0.0771395693
601	0.9865319865	0.07703927539
602	0.9865319865	0.076921606
603	0.9865319865	0.07685027603
604	0.9865319865	0.07665971425
605	0.9865319865	0.07665072904
606	0.9865319865	0.07649180211
607	0.9865319865	0.0761402209
608	0.9865319865	0.07598429056
609	0.9865319865	0.07590811933
610	0.9865319865	0.07587987967
611	0.9865319865	0.07586937556
612	0.9865319865	0.07577401429
613	0.9865319865	0.07559763797
614	0.9865319865	0.07554708807
615	0.9865319865	0.07527033601
616	0.9865319865	0.07518176393
617	0.9865319865	0.07508675929
618	0.9865319865	0.07498096458
619	0.9865319865	0.07483369939
620	0.987654321	0.0743418686
621	0.987654321	0.07419083568
622	0.987654321	0.073927286
623	0.987654321	0.0737751574
624	0.987654321	0.07355966919
625	0.987654321	0.07351674725
626	0.987654321	0.07350329112
627	0.987654321	0.07346291994
628	0.987654321	0.07341041434
629	0.987654321	0.07335108524
630	0.987654321	0.07321310986
631	0.987654321	0.07299358197
632	0.987654321	0.07285944437
633	0.987654321	0.07262472746
634	0.987654321	0.07233987992
635	0.987654321	0.07224353664
636	0.987654321	0.07214038653
637	0.987654321	0.07178412396
638	0.987654321	0.07147644524
639	0.987654321	0.07113464143
640	0.987654321	0.07107016623
641	0.987654321	0.0709668662
642	0.987654321	0.07095507491
643	0.987654321	0.07080391514
644	0.987654321	0.07069506847
645	0.987654321	0.0706282346
646	0.987654321	0.07058196641
647	0.987654321	0.07031611421
648	0.9887766554	0.07016163521
649	0.9887766554	0.06992950299
650	0.9887766554	0.06978894288
651	0.9887766554	0.06973753886
652	0.9887766554	0.06956581739
653	0.9887766554	0.06944455181
654	0.9887766554	0.06940682254
655	0.9887766554	0.06912731847
656	0.9887766554	0.06894824923
657	0.9887766554	0.06890552939
658	0.9887766554	0.06885936145
659	0.9887766554	0.06879944938
660	0.9887766554	0.06864864443
661	0.9887766554	0.06850248199
662	0.9887766554	0.06835825839
663	0.9887766554	0.06826469177
664	0.9887766554	0.06819520644
665	0.9887766554	0.06811017881
666	0.9887766554	0.068077941
667	0.9887766554	0.06785304503
668	0.9887766554	0.06783488028
669	0.9887766554	0.06778488565
670	0.9887766554	0.06771130317
671	0.9887766554	0.06754983665
672	0.9887766554	0.06741358562
673	0.9887766554	0.06718678981
674	0.9887766554	0.06711317464
675	0.9887766554	0.06692930878
676	0.9887766554	0.06676532315
677	0.9887766554	0.0666625626
678	0.9887766554	0.06642855662
679	0.9887766554	0.06640800093
680	0.9887766554	0.06623875233
681	0.9887766554	0.06595342249
682	0.9887766554	0.06583108283
683	0.9887766554	0.06577241237
684	0.9887766554	0.06564334016
685	0.9887766554	0.06545256854
686	0.9887766554	0.06521590685
687	0.9887766554	0.06517816423
688	0.9887766554	0.06511815861
689	0.9887766554	0.06465650795
690	0.9887766554	0.06464837765
691	0.9887766554	0.06464161408
692	0.9887766554	0.06460298342
693	0.9887766554	0.06459623524
694	0.9887766554	0.0645034701
695	0.9887766554	0.06436908592
696	0.9887766554	0.0642284235
697	0.9887766554	0.06417245095
698	0.9887766554	0.06408542886
699	0.9887766554	0.06391319292
700	0.9887766554	0.06380568721
701	0.9887766554	0.06363776525
702	0.9887766554	0.06351253387
703	0.9887766554	0.06333244252
704	0.9887766554	0.06330780985
705	0.9887766554	0.06322150628
706	0.9887766554	0.06316585559
707	0.9887766554	0.06306182164
708	0.9887766554	0.06287171164
709	0.9887766554	0.0626950255
710	0.9887766554	0.0625693291
711	0.9898989899	0.06237461722
712	0.9898989899	0.06235501208
713	0.9898989899	0.06229114369
714	0.9898989899	0.0622629103
715	0.9898989899	0.06217597355
716	0.9898989899	0.06211262779
717	0.9898989899	0.06209412542
718	0.9898989899	0.06203765296
719	0.9898989899	0.06202732531
720	0.9898989899	0.06189538427
721	0.9898989899	0.06175931589
722	0.9898989899	0.06172444518
723	0.9898989899	0.06171960867
724	0.9898989899	0.06162033068
725	0.9898989899	0.06151338673
726	0.9887766554	0.0613917904
727	0.9910213244	0.0612923622
728	0.9910213244	0.06124880646
729	0.9910213244	0.06112046142
730	0.9887766554	0.06102955642
731	0.9887766554	0.06097792597
732	0.9898989899	0.06082780022
733	0.9898989899	0.06058181248
734	0.9910213244	0.06051432383
735	0.9910213244	0.06039820876
736	0.9910213244	0.06031112083
737	0.9921436588	0.06026767701
738	0.9921436588	0.06026122408
739	0.9910213244	0.06019453936
740	0.9921436588	0.06013780857
741	0.9910213244	0.06012445623
742	0.9910213244	0.05972026497
743	0.9921436588	0.05953945162
744	0.9921436588	0.05952342959
745	0.9921436588	0.0594533099
746	0.9921436588	0.0594408298
747	0.9921436588	0.05939509245
748	0.9921436588	0.05928049892
749	0.9921436588	0.05919980997
750	0.9921436588	0.05903201086
751	0.9921436588	0.05879460812
752	0.9921436588	0.0587267338
753	0.9932659933	0.05852377996
754	0.9932659933	0.05839888672
755	0.9932659933	0.05839239656
756	0.9932659933	0.05825700226
757	0.9932659933	0.05818161975
758	0.9932659933	0.05818001156
759	0.9932659933	0.05811644725
760	0.9932659933	0.05787883474
761	0.9932659933	0.05775880412
762	0.9932659933	0.057676841
763	0.9943883277	0.05750923455
764	0.9943883277	0.05743049893
765	0.9943883277	0.05734301914
766	0.9943883277	0.05717305668
767	0.9943883277	0.05715219576
768	0.9943883277	0.05711155843
769	0.9943883277	0.05699514338
770	0.9943883277	0.05692281262
771	0.9943883277	0.05671137133
772	0.9943883277	0.05662951686
773	0.9943883277	0.05656161336
774	0.9943883277	0.05648387269
775	0.9943883277	0.0563976253
776	0.9943883277	0.05634495284
777	0.9943883277	0.056322552
778	0.9943883277	0.05631036518
779	0.9943883277	0.05628986927
780	0.9943883277	0.05628176649
781	0.9943883277	0.05618511858
782	0.9955106622	0.05602459564
783	0.9955106622	0.0559858455
784	0.9955106622	0.05597611756
785	0.9955106622	0.05587603546
786	0.9955106622	0.05581684822
787	0.9955106622	0.05571253444
788	0.9955106622	0.05570762101
789	0.9955106622	0.0556833016
790	0.9955106622	0.05564774039
791	0.9955106622	0.05561959625
792	0.9955106622	0.05550064895
793	0.9955106622	0.05534682606
794	0.9955106622	0.05527980541
795	0.9955106622	0.05526967739
796	0.9955106622	0.05518323854
797	0.9955106622	0.05514578139
798	0.9955106622	0.05510697187
799	0.9955106622	0.05499629322
800	0.9955106622	0.05489206274
801	0.9955106622	0.05483421496
802	0.9955106622	0.05479362043
803	0.9955106622	0.05475415902
804	0.9955106622	0.05463624838
805	0.9955106622	0.05453527143
806	0.9955106622	0.05449486433
807	0.9955106622	0.05438639867
808	0.9955106622	0.05433401689
809	0.9955106622	0.05430297642
810	0.9955106622	0.05429827184
811	0.9955106622	0.05428121331
812	0.9955106622	0.05426177347
813	0.9955106622	0.05412103874
814	0.9955106622	0.05410582961
815	0.9955106622	0.0540847252
816	0.9955106622	0.05407428008
817	0.9955106622	0.05405812864
818	0.9955106622	0.05404979269
819	0.9955106622	0.05402372775
820	0.9955106622	0.053984534
821	0.9955106622	0.05397741385
822	0.9955106622	0.05395475043
823	0.9955106622	0.05382209423
824	0.9955106622	0.05377805402
825	0.9955106622	0.05354740983
826	0.9955106622	0.0533951557
827	0.9955106622	0.05325342974
828	0.9955106622	0.05321225207
829	0.9955106622	0.05314442802
830	0.9955106622	0.05305617656
831	0.9966329966	0.05292500308
832	0.9966329966	0.05277367695
833	0.9966329966	0.05274930157
834	0.9966329966	0.05254236602
835	0.9966329966	0.05249175335
836	0.9966329966	0.05241243481
837	0.9966329966	0.05210990714
838	0.9966329966	0.052024928
839	0.9966329966	0.05192371946
840	0.9966329966	0.05189303571
841	0.9966329966	0.05182484449
842	0.9966329966	0.05153097697
843	0.9966329966	0.05146974759
844	0.9966329966	0.05136585392
845	0.9966329966	0.05133635426
846	0.9966329966	0.05122207478
847	0.9966329966	0.0511800894
848	0.9966329966	0.05113072724
849	0.9966329966	0.05112463193
850	0.9966329966	0.05096968939
851	0.9977553311	0.0507498785
852	0.9977553311	0.05074518332
853	0.9977553311	0.05073140116
854	0.9977553311	0.05065056144
855	0.9977553311	0.05054492895
856	0.9977553311	0.05041949983
857	0.9977553311	0.05037960388
858	0.9977553311	0.05037350219
859	0.9977553311	0.05031859061
860	0.9977553311	0.05029529328
861	0.9977553311	0.05026111157
862	0.9977553311	0.05023779432
863	0.9977553311	0.0502138489
864	0.9977553311	0.05014419767
865	0.9977553311	0.04997250124
866	0.9977553311	0.04995942673
867	0.9977553311	0.04974607658
868	0.9977553311	0.04968348487
869	0.9977553311	0.04956693839
870	0.9977553311	0.049536053
871	0.9977553311	0.04953186896
872	0.9977553311	0.04952477594
873	0.9977553311	0.04951794333
874	0.9977553311	0.04947558914
875	0.9977553311	0.04912392858
876	0.9977553311	0.04903484248
877	0.9977553311	0.04886651143
878	0.9977553311	0.04885075807
